0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001
0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.002,0.001,0.0
0.004,0.002,0.004,0.014,0.003,0.001,0.006,0.004,0.005,0.002,0.001,0.002,0.001,0.004,0.002,0.002,0.001,0.005,0.005,0.002,0.002,0.004,0.002,0.006,0.003,0.004,0.009,0.006,0.01,0.004,0.005,0.011,0.006,0.008,0.001,0.002,0.003,0.008,0.002,0.004
0.008,0.005,0.01,0.006,0.006,0.006,0.009,0.013,0.007,0.009,0.007,0.006,0.008,0.006,0.007,0.006,0.005,0.012,0.009,0.007,0.005,0.006,0.005,0.009,0.006,0.006,0.006,0.007,0.006,0.007,0.006,0.006,0.006,0.005,0.009,0.007,0.006,0.009,0.005,0.006
0.011,0.021,0.011,0.013,0.012,0.016,0.018,0.025,0.012,0.022,0.01,0.012,0.01,0.013,0.014,0.018,0.033,0.021,0.012,0.01,0.043,0.01,0.018,0.009,0.017,0.033,0.021,0.015,0.009,0.022,0.019,0.023,0.012,0.015,0.025,0.011,0.02,0.012,0.015,0.014
0.182,0.124,0.161,0.174,0.148,0.158,0.175,0.158,0.143,0.152,0.165,0.17,0.191,0.151,0.165,0.203,0.063,0.061,0.202,0.217,0.163,0.171,0.168,0.196,0.175,0.164,0.169,0.171,0.189,0.172,0.214,0.038,0.035,0.172,0.027,0.032,0.165,0.182,0.234,0.203
0.165,0.169,0.171,0.168,0.159,0.154,0.143,0.139,0.147,0.141,0.158,0.176,0.18,0.162,0.155,0.154,0.175,0.164,0.162,0.157,0.15,0.144,0.175,0.166,0.148,0.147,0.177,0.219,0.224,0.199,0.075,0.09,0.088,0.096,0.082,0.081,0.081,0.09,0.089,0.096
0.247,0.272,0.294,0.216,0.233,0.242,0.261,0.202,0.246,0.235,0.653,0.217,0.228,0.217,0.219,0.217,0.236,0.24,0.218,0.239,0.23,0.208,0.198,0.216,0.225,0.261,0.279,0.237,0.256,0.222,0.744,0.65,0.636,0.626,0.591,0.614,0.611,0.604,0.613,0.586
0.243,0.209,0.172,0.189,0.207,0.252,0.186,0.205,0.173,0.179,0.096,2.958,2.927,0.103,2.872,0.14,0.104,0.102,2.912,0.127,0.247,0.231,0.245,0.248,0.234,0.279,0.252,0.272,0.282,0.201,0.178,0.177,0.173,0.172,2.634,0.164,0.177,0.171,0.186,0.171
