0.004,0.006,0.004,0.015,0.008,0.021,0.007,0.012,0.01,0.009,0.004,0.04,0.004,0.003,0.022,0.009,0.012,0.022,0.005,0.037,0.007,0.004,0.004,0.004,0.004,0.005,0.007,0.005,0.02,0.008,0.159,0.006,0.289,0.007,0.011,0.016,0.003,0.007,0.034,0.043
0.004,0.006,0.004,0.008,0.007,0.007,0.007,0.006,0.005,0.009,0.007,0.007,0.011,0.005,0.006,0.008,0.039,0.012,0.008,0.007,0.004,0.005,0.005,0.005,0.006,0.005,0.005,0.007,0.005,0.01,0.017,0.017,0.058,0.011,0.263,0.005,0.025,0.009,0.006,0.007
0.017,0.036,0.014,0.041,0.015,0.015,0.019,0.019,0.007,0.021,0.008,0.009,0.007,0.019,0.006,0.01,0.007,0.012,0.013,0.006,0.01,0.006,0.012,0.007,0.01,0.007,0.007,0.007,0.006,0.006,0.009,0.008,0.006,0.008,0.01,0.007,0.009,0.008,0.008,0.007
0.009,0.008,0.009,0.01,0.009,0.01,0.01,0.011,0.009,0.009,0.013,0.01,0.012,0.025,0.011,0.02,0.012,0.011,0.01,0.01,0.016,0.009,0.012,0.011,0.008,0.016,0.01,0.396,0.01,0.02,0.01,0.016,0.01,0.011,0.011,0.01,0.013,0.01,0.021,0.012
0.014,0.013,0.013,0.016,0.012,0.018,0.014,0.016,0.016,0.012,0.017,0.016,0.017,0.027,0.018,0.017,0.016,0.017,0.016,0.018,0.015,0.02,0.019,0.012,0.011,0.012,0.015,0.019,0.023,0.017,0.015,0.014,0.016,0.015,0.015,0.02,0.017,0.02,0.015,0.016
0.024,0.022,0.021,0.023,0.03,0.038,0.022,0.024,0.026,0.028,0.024,0.022,0.023,0.022,0.024,0.021,0.025,0.026,0.024,0.024,0.028,0.023,0.025,0.023,0.027,0.029,0.028,0.029,0.029,0.03,0.019,0.019,0.019,0.02,0.027,0.02,0.022,0.024,0.027,0.025
0.03,0.028,0.034,0.037,0.035,0.034,0.036,0.028,0.032,0.028,0.033,0.035,0.041,0.035,0.03,0.033,0.033,0.037,0.031,0.029,0.036,0.033,0.038,0.041,0.036,0.038,0.042,0.037,0.035,0.041,0.03,0.031,0.03,0.036,0.041,0.035,0.033,0.036,0.031,0.035
0.05,0.049,0.053,0.05,0.045,0.059,0.049,0.049,0.047,0.043,0.045,0.061,0.042,0.038,0.044,0.04,0.05,0.041,0.051,0.049,0.053,0.05,0.051,0.042,0.063,0.046,0.04,0.043,0.047,0.05,0.05,0.057,0.053,0.045,0.061,0.064,0.043,0.044,0.066,0.046
0.077,0.062,0.077,0.078,0.072,0.072,0.076,0.071,0.069,0.076,0.046,0.046,0.039,0.044,0.048,0.039,0.044,0.04,0.037,0.043,0.059,0.046,0.049,0.045,0.047,0.058,0.046,0.047,0.053,0.049,0.056,0.064,0.056,0.079,0.061,0.052,0.053,0.062,0.062,0.065
0.091,0.093,0.1,0.066,0.08,0.062,0.067,0.061,0.066,0.068,0.058,0.058,0.074,0.078,0.057,0.055,0.066,0.055,0.068,0.056,0.082,0.077,0.08,0.101,0.077,0.079,0.079,0.092,0.079,0.076,0.089,0.077,0.094,0.094,0.086,0.076,0.099,0.1,0.099,0.077
