0.001,0.005,0.0,0.001,0.001,0.0,0.001,0.0,0.024,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.001,0.001,0.004,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0
0.001,0.001,0.001,0.001,0.002,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.007,0.001,0.001,0.0,0.005,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.001
0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.001,0.001,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.001,0.005,0.004,0.003,0.002,0.002,0.002,0.002
0.013,0.01,0.011,0.008,0.019,0.01,0.018,0.014,0.014,0.022,0.014,0.009,0.011,0.013,0.011,0.011,0.007,0.01,0.011,0.008,0.009,0.012,0.009,0.01,0.011,0.018,0.015,0.011,0.02,0.011,0.01,0.011,0.01,0.01,0.013,0.01,0.013,0.009,0.012,0.014
0.029,0.03,0.04,0.04,0.036,0.041,0.03,0.03,0.037,0.034,0.022,0.021,0.023,0.026,0.02,0.019,0.02,0.022,0.023,0.02,0.035,0.031,0.032,0.027,0.035,0.028,0.022,0.025,0.021,0.021,0.031,0.034,0.033,0.027,0.025,0.027,0.041,0.027,0.032,0.029
0.091,0.069,0.098,0.082,0.083,0.075,0.075,0.081,0.089,0.082,0.095,0.061,0.078,0.079,0.077,0.076,0.07,0.074,0.085,0.075,0.073,0.095,0.065,0.069,0.057,0.062,0.062,0.062,0.056,0.07,0.074,0.069,0.064,0.076,0.068,0.056,0.071,0.07,0.071,0.065
0.107,0.145,0.154,0.154,0.154,0.151,0.19,0.147,0.125,0.112,0.134,0.139,0.138,0.176,0.118,0.132,0.153,0.152,0.136,0.12,0.092,0.082,0.074,0.1,0.104,0.071,0.124,0.075,0.325,0.061,0.109,0.107,0.113,0.099,0.123,0.104,0.117,0.114,0.112,0.114
0.403,0.346,0.331,0.34,0.442,0.328,0.368,0.372,0.377,0.378,0.422,0.429,0.445,0.489,0.426,0.33,0.309,0.307,0.327,0.316,0.229,0.228,0.252,0.912,0.287,0.291,0.267,0.344,0.239,0.353,0.335,0.321,0.331,0.345,0.383,0.411,0.36,0.386,0.421,0.349
0.853,0.91,10.95,0.836,1.009,1.682,0.755,2.821,1.021,0.8,2.94,2.828,2.405,2.199,2.595,2.702,2.374,2.299,2.709,2.438,2.204,2.237,2.229,2.166,2.206,2.259,2.602,2.086,2.166,2.616,2.723,3.185,2.65,2.586,3.162,3.303,2.784,3.741,3.304,3.925
14.543,14.737,18.769,14.774,15.423,15.174,14.089,14.21,14.399,14.204,14.618,17.454,15.183,16.355,14.817,13.666,15.069,13.618,12.988,15.186,8.826,8.771,12.167,7.807,7.783,7.825,8.032,9.892,9.388,8.804,13.982,13.512,14.542,14.455,12.995,13.805,14.112,12.87,14.941,15.994
