0.032,0.075,0.081,0.058,0.135,0.116,0.021,0.04,0.03,0.165,0.044,0.11,0.077,0.052,0.037,0.091,0.013,0.109,0.033,0.052,0.026,0.015,0.05,0.007,0.018,0.027,0.018,0.012,0.011,0.009,0.039,0.027,0.019,0.046,0.042,0.046,0.045,0.048,0.009,0.14
0.044,0.073,0.064,0.03,0.037,0.037,0.044,0.084,0.034,0.041,0.009,0.03,0.023,0.01,0.023,0.015,0.013,0.012,0.012,0.016,0.027,0.05,0.044,0.129,0.029,0.063,0.072,0.057,0.064,0.046,0.016,0.023,0.07,0.034,0.043,0.033,0.017,0.025,0.043,0.037
0.034,0.06,0.023,0.069,0.028,0.041,0.05,0.031,0.059,0.038,0.058,0.03,0.038,0.024,0.022,0.02,0.009,0.012,0.019,0.04,0.012,0.023,0.014,0.025,0.02,0.032,0.021,0.02,0.008,0.007,0.017,0.034,0.021,0.02,0.024,0.02,0.015,0.028,0.038,0.023
0.039,0.033,0.031,0.013,0.058,0.02,0.035,0.018,0.019,0.109,0.013,0.024,0.016,0.031,0.031,0.021,0.027,0.022,0.024,0.024,0.024,0.043,0.037,0.026,0.021,0.016,0.032,0.031,0.035,0.023,0.038,0.022,0.018,0.03,0.018,0.028,0.03,0.047,0.024,0.018
0.043,0.013,0.022,0.02,0.035,0.017,0.023,0.031,0.024,0.03,0.04,0.015,0.018,0.013,0.016,0.019,0.015,0.018,0.013,0.015,0.02,0.017,0.018,0.019,0.014,0.016,0.015,0.014,0.023,0.034,0.015,0.02,0.013,0.019,0.016,0.017,0.017,0.019,0.014,0.015
0.027,0.035,0.026,0.039,0.025,0.022,0.02,0.029,0.031,0.029,0.024,0.033,0.028,0.03,0.023,0.033,0.038,0.038,0.049,0.057,0.039,0.033,0.056,0.033,0.03,0.033,0.042,0.034,0.029,0.04,0.03,0.025,0.029,0.027,0.038,0.026,0.03,0.027,0.027,0.031
0.034,0.035,0.04,0.041,0.042,0.037,0.035,0.039,0.041,0.044,0.04,0.054,0.042,0.04,0.039,0.043,0.052,0.041,0.038,0.039,0.071,0.044,0.035,0.043,0.038,0.049,0.063,0.039,0.045,0.049,0.054,0.035,0.037,0.036,0.042,0.072,0.039,0.053,0.044,0.042
0.06,0.06,0.059,0.052,0.048,0.057,0.06,0.05,0.058,0.048,0.054,0.053,0.056,0.051,0.061,0.052,0.049,0.049,0.052,0.064,0.053,0.048,0.051,0.066,0.055,0.054,0.05,0.065,0.057,0.052,0.051,0.053,0.059,0.051,0.076,0.058,0.055,0.072,0.055,0.065
0.076,0.086,0.068,0.064,0.094,0.071,0.165,0.08,0.08,0.058,0.074,0.072,0.076,0.07,0.076,0.075,0.073,0.076,0.078,0.078,0.065,0.066,0.067,0.069,0.084,0.078,0.075,0.065,0.067,0.081,0.085,0.071,0.072,0.091,0.078,0.078,0.073,0.076,0.074,0.077
0.077,0.073,0.074,0.093,0.092,0.094,0.084,0.087,0.115,0.104,0.083,0.087,0.097,0.1,0.095,0.095,0.091,0.086,0.101,0.088,0.09,0.082,0.085,0.084,0.083,0.082,0.093,0.1,0.09,0.081,0.089,0.102,0.103,0.108,0.092,0.104,0.088,0.094,0.099,0.089
